8.1,The Princess Bride,"$30,902,642 "
8.6,Cidade de Deus,"$30,680,793 "
8.1,Relatos salvajes,"$30,642,704 "
8.2,Tonari no Totoro,"$30,550,727 "
9.3,The Shawshank Redemption,"$28,817,291 "
8.3,Taxi Driver,"$28,441,292 "
8.5,American History X,"$23,875,127 "
8.2,Raging Bull,"$23,402,427 "
8.5,The Usual Suspects,"$23,341,568 "
8.1,Warrior,"$23,308,615 "
8.3,Jodaeiye Nader az Simin,"$22,926,076 "
8.1,Amores perros,"$20,908,467 "
8.1,Life of Brian,"$20,742,852 "
8.1,The Thing,"$19,632,053 "
8.5,Léon,"$19,552,639 "
8.3,Babam ve Oglum,"$18,612,999 "
8.2,Yedinci Kogustaki Mucize,"$17,163,660 "
8.1,Trainspotting,"$16,607,872 "
8.1,Before Sunset,"$15,936,507 "
8.3,Jagten,"$15,843,274 "
8.4,Oldeuboi,"$15,107,913 "
8.5,Nuovo Cinema Paradiso,"$13,019,063 "
8.3,Das Boot,"$11,487,676 "
8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"$9,523,464 "
8.3,Vertigo,"$7,797,728 "
8.3,Requiem for a Dream,"$7,390,108 "
8.3,Incendies,"$7,099,598 "
8.6,It's a Wonderful Life,"$6,184,298 "
8.1,Before Sunrise,"$5,987,386 "
8.4,Once Upon a Time in America,"$5,472,914 "
8.2,The Treasure of the Sierra Madre,"$5,014,000 "
8.5,Casablanca,"$4,376,287 "
8.2,Ran,"$4,164,283 "
8.2,"Lock, Stock and Two Smoking Barrels","$3,753,929 "
8.1,Trois couleurs: Rouge,"$3,581,969 "
8.2,To Be or Not to Be,"$3,270,000 "
8.3,Reservoir Dogs,"$2,913,644 "
8.1,Fa yeung nin wah,"$2,738,980 "
8.3,The Father,"$2,120,992 "
8.2,Monty Python and the Holy Grail,"$1,940,906 "
8.3,Singin' in the Rain,"$1,865,056 "
8.3,Metropolis,"$1,349,711 "
8.4,Taare Zameen Par,"$1,223,869 "
8.1,Salinui chueok,"$1,159,644 "
8.1,The Third Man,"$1,067,364 "
8.2,Sherlock Jr.,"$977,375 "
8.1,La battaglia di Algeri,"$964,028 "
8.3,Bacheha-Ye aseman,"$933,933 "
8.2,The Shape of Voice,"$644,391 "
8.3,To Kill a Mockingbird,"$599,146 "
8.1,Du rififi chez les hommes,"$517,975 "
8.5,Hotaru no haka,"$516,962 "
8.5,Modern Times,"$457,688 "
8.3,Ladri di biciclette,"$428,978 "
8.6,Shichinin no samurai,"$322,773 "
8.1,Stalker,"$303,815 "
8.4,Sunset Blvd.,"$300,073 "
8.2,All About Eve,"$151,052 "
8.1,Andrey Rublev,"$145,491 "
8.1,Mr. Smith Goes to Washington,"$144,738 "
8.6,Pather Panchali,"$134,241 "
8.1,Persona,"$90,460 "
8.3,Idi i smotri,"$71,909 "
8.3,Ikiru,"$60,239 "
8.4,Tengoku to jigoku,"$46,808 "
8.2,Yojinbo,"$46,808 "
8.2,Rashomon,"$46,808 "
8.5,City Lights,"$46,008 "
8.2,Tôkyô monogatari,"$40,468 "
8.3,M - Eine Stadt sucht einen Mörder,"$35,566 "
8.1,La passion de Jeanne d'Arc,"$21,877 "
8.2,Dial M for Murder,"$18,924 "
8.6,Seppuku,"$15,222 "
8.2,Smultronstället,"$14,524 "
8.2,Höstsonaten,"$14,338 "
8.1,Le salaire de la peur,"$1,098 "
8.1,Les quatre cents coups,$509 
