Bliss^^^Drama, Romance, Sci-Fi^^^2021
The Lobster^^^Comedy, Drama, Romance^^^2015
Brightburn^^^Drama, Horror, Mystery^^^2019
Teenage Mutant Ninja Turtles^^^Action, Adventure, Comedy^^^1990
The Promised Neverland^^^Animation, Adventure, Drama^^^2019
2012^^^Action, Adventure, Sci-Fi^^^2009
Close Enough^^^Animation, Comedy, Drama^^^2020
The Silencers^^^Action, Adventure, Comedy^^^1966
E.T. the Extra-Terrestrial^^^Family, Sci-Fi^^^1982
Looper^^^Action, Drama, Sci-Fi^^^2012
Batman & Robin^^^Action, Sci-Fi^^^1997
Children of Men^^^Adventure, Drama, Sci-Fi^^^2006
Eureka^^^Adventure, Comedy, Drama^^^2006
Dredd^^^Action, Crime, Sci-Fi^^^2012
Star Wars: Episode VII - The Force Awakens^^^Action, Adventure, Sci-Fi^^^2015
Possessor^^^Horror, Mystery, Sci-Fi^^^2020
Henry Danger^^^Action, Comedy, Family^^^2014
I Am Number Four^^^Action, Adventure, Sci-Fi^^^2011
The Shannara Chronicles^^^Adventure, Fantasy, Sci-Fi^^^2016
Geostorm^^^Action, Sci-Fi, Thriller^^^2017
They Live^^^Action, Horror, Sci-Fi^^^1988
Face/Off^^^Action, Crime, Sci-Fi^^^1997
He-Man and the Masters of the Universe^^^Animation, Action, Adventure^^^2021
War of the Worlds^^^Adventure, Sci-Fi, Thriller^^^2005
Passengers^^^Drama, Romance, Sci-Fi^^^2016
Star Wars: Episode V - The Empire Strikes Back^^^Action, Adventure, Fantasy^^^1980
The Handmaid's Tale^^^Drama, Romance, Sci-Fi^^^1990
Psycho Goreman^^^Comedy, Horror, Sci-Fi^^^2020
The Matrix Reloaded^^^Action, Sci-Fi^^^2003
Invasion^^^Drama, Fantasy, Sci-Fi^^^2021
Stargate^^^Action, Adventure, Sci-Fi^^^1994
The Thing^^^Horror, Mystery, Sci-Fi^^^1982
The Lost World: Jurassic Park^^^Action, Adventure, Sci-Fi^^^1997
The Platform^^^Horror, Sci-Fi, Thriller^^^2019
Man of Steel^^^Action, Adventure, Sci-Fi^^^2013
Snowpiercer^^^Action, Drama, Sci-Fi^^^2013
Predestination^^^Action, Drama, Sci-Fi^^^2014
The Day After Tomorrow^^^Action, Adventure, Sci-Fi^^^2004
Alita: Battle Angel^^^Action, Adventure, Sci-Fi^^^2019
Sonic the Hedgehog^^^Action, Adventure, Comedy^^^2020
Men in Black^^^Action, Adventure, Comedy^^^1997
Idiocracy^^^Adventure, Comedy, Sci-Fi^^^2006
Escape Room: Tournament of Champions^^^Action, Adventure, Horror^^^2021
Godzilla: King of the Monsters^^^Action, Adventure, Fantasy^^^2019
Gemini Man^^^Action, Drama, Sci-Fi^^^2019
Iron Man 2^^^Action, Adventure, Sci-Fi^^^2010
Star Wars: Episode II - Attack of the Clones^^^Action, Adventure, Fantasy^^^2002
Made for Love^^^Comedy, Drama, Sci-Fi^^^2021
Solo: A Star Wars Story^^^Action, Adventure, Sci-Fi^^^2018
Marvel Studios: Legends^^^Action, Fantasy, Sci-Fi^^^2021
Misfits^^^Comedy, Drama, Fantasy^^^2009
Stargirl^^^Action, Adventure, Crime^^^2020
Mortal Engines^^^Action, Adventure, Fantasy^^^2018
Galaxy Quest^^^Adventure, Comedy, Sci-Fi^^^1999
Batman v Superman: Dawn of Justice^^^Action, Adventure, Sci-Fi^^^2016
V for Vendetta^^^Action, Drama, Sci-Fi^^^2005
X-Men: Days of Future Past^^^Action, Adventure, Sci-Fi^^^2014
Star Trek Beyond^^^Action, Adventure, Sci-Fi^^^2016
Starship Troopers^^^Action, Adventure, Sci-Fi^^^1997
Kong: Skull Island^^^Action, Adventure, Fantasy^^^2017
Resident Evil Village^^^Action, Adventure, Fantasy^^^2021
Legion^^^Action, Drama, Sci-Fi^^^2017
X-Men: First Class^^^Action, Adventure, Sci-Fi^^^2011
The Purge^^^Horror, Sci-Fi, Thriller^^^2013
X-Men: Dark Phoenix^^^Action, Adventure, Sci-Fi^^^2019
Stargate: Atlantis^^^Action, Adventure, Drama^^^2004
Orphan Black^^^Action, Drama, Sci-Fi^^^2013
Terminator Genisys^^^Action, Adventure, Sci-Fi^^^2015
In the Earth^^^Horror, Sci-Fi, Thriller^^^2021
The Last Man on Earth^^^Action, Comedy, Drama^^^2015
Spider-Man 3^^^Action, Adventure, Sci-Fi^^^2007
Black Adam^^^Action, Fantasy, Sci-Fi^^^2022
The Island^^^Action, Sci-Fi, Thriller^^^2005
Star Wars: Episode III - Revenge of the Sith^^^Action, Adventure, Fantasy^^^2005
I Am Legend^^^Action, Adventure, Drama^^^2007
Deep Blue Sea^^^Action, Adventure, Sci-Fi^^^1999
Blade^^^Action, Horror, Sci-Fi^^^1998
Life^^^Horror, Sci-Fi, Thriller^^^2017
Batman: The Animated Series^^^Animation, Action, Adventure^^^1992
Warehouse 13^^^Drama, Mystery, Sci-Fi^^^2009
Aquaman and the Lost Kingdom^^^Action, Adventure, Fantasy^^^2022
